row,col,type
6701,14355,5
6701,14356,5
6701,14357,5
6701,14363,5
6701,14372,5
6701,14388,5
6701,14437,5
6701,10360,5
6701,14463,5
6701,14532,5
6701,14598,5
6701,14599,5
6701,14652,5
6701,10566,5
6701,14752,5
6701,10601,5
6701,10602,5
6701,14760,5
6701,10603,5
6701,14763,5
6701,14765,5
6701,14777,5
6701,14785,5
6701,14801,5
6701,10780,5
6701,14883,5
6701,14885,5
6701,14888,5
6701,14890,5
6701,14894,5
6701,14896,5
6701,14897,5
6701,14899,5
6701,14904,5
6701,14940,5
6701,14944,5
6701,14947,5
6701,14949,5
6701,10901,5
6701,14977,5
6701,14986,5
6701,15095,5
6701,15214,5
6701,15255,5
6701,15290,5
6701,15314,5
6701,11288,5
6701,15327,5
6701,15384,5
6701,11370,5
6701,15464,5
6701,15469,5
6702,11883,5
6702,11960,5
6702,11964,5
6702,12016,5
6702,12155,5
6702,7890,5
6702,12200,5
6702,12425,5
6702,8170,5
6702,12439,5
6702,12534,5
6702,8417,5
6702,8418,5
6702,12723,5
6702,12755,5
6702,8838,5
6702,13283,5
6702,13350,5
6702,9162,5
6702,9478,5
6702,13548,5
6702,13620,5
6702,13756,5
6702,13844,5
6702,13870,5
6702,13906,5
6702,13923,5
6702,13937,5
6702,13980,5
6702,13983,5
6702,14049,5
6702,14054,5
6702,14161,5
6702,14229,5
6702,14282,5
6702,10363,5
6702,14455,5
6702,10364,5
6702,10468,5
6702,14554,5
6702,14557,5
6702,14558,5
6702,14577,5
6702,14605,5
6702,14613,5
6702,14614,5
6702,14628,5
6702,10755,5
6702,10783,5
6702,14914,5
6702,14938,5
6702,14942,5
6702,14946,5
6702,14948,5
6702,11014,5
6702,15464,5
6702,11488,5
6703,14261,5
6703,10164,5
6703,14262,5
6703,15026,5
11634,11786,5
11634,12125,5
11634,12548,5
11634,12674,5
11634,8549,5
11634,12767,5
11634,13002,5
11634,13931,5
11634,14901,5
11634,14994,5
11634,15107,5
11636,10307,5
6711,13860,5
6712,11877,5
6712,8900,5
6712,13639,5
6712,9655,5
6712,13803,5
6712,11047,5
6719,10455,5
6719,15160,5
6724,6725,5
6724,7061,5
6724,11663,5
6724,11721,5
6724,11777,5
6724,7551,5
6724,11969,5
6724,7687,5
6724,7742,5
6724,7978,5
6724,8106,5
6724,12389,5
6724,8292,5
6724,12568,5
6724,8364,5
6724,12618,5
6724,8417,5
6724,8418,5
6724,12732,5
6724,12769,5
6724,13064,5
6724,9171,5
6724,13414,5
6724,13471,5
6724,13764,5
6724,9725,5
6724,9726,5
6724,13984,5
6724,14071,5
6724,14077,5
6724,14410,5
6724,14414,5
6724,14457,5
6724,14477,5
6724,14505,5
6724,10422,5
6724,14759,5
6724,10812,5
6724,14939,5
6724,14998,5
6724,14999,5
6724,10964,5
6724,15116,5
6724,15147,5
6724,15221,5
6724,11234,5
6724,15378,5
6724,11396,5
6724,15421,5
6724,15427,5
6724,11440,5
11643,7062,5
11643,11700,5
11643,12164,5
11643,8086,5
11643,8187,5
11643,8292,5
11643,12568,5
11643,12572,5
11643,8364,5
11643,8426,5
11643,12900,5
11643,13116,5
11643,9049,5
11643,9142,5
11643,13566,5
11643,9735,5
11643,9940,5
11643,9941,5
11643,14996,5
11643,14997,5
11643,10938,5
11643,15378,5
11643,11396,5
11643,15422,5
6725,11644,5
6725,7404,5
6725,11762,5
6725,11763,5
6725,11846,5
6725,11876,5
6725,11897,5
6725,7562,5
6725,7572,5
6725,11960,5
6725,12036,5
6725,7742,5
6725,12045,5
6725,12073,5
6725,12133,5
6725,7921,5
6725,8040,5
6725,12339,5
6725,8049,5
6725,12371,5
6725,12372,5
6725,12414,5
6725,8168,5
6725,12486,5
6725,12503,5
6725,12513,5
6725,12540,5
6725,12548,5
6725,12599,5
6725,8392,5
6725,8396,5
6725,12622,5
6725,8397,5
6725,8426,5
6725,12753,5
6725,12767,5
6725,8730,5
6725,12900,5
6725,8838,5
6725,13087,5
6725,13203,5
6725,13285,5
6725,13288,5
6725,13358,5
6725,13413,5
6725,13520,5
6725,13548,5
6725,13549,5
6725,9629,5
6725,9651,5
6725,13749,5
6725,13774,5
6725,9725,5
6725,9726,5
6725,13797,5
6725,9755,5
6725,13955,5
6725,9941,5
6725,9942,5
6725,14049,5
6725,14072,5
6725,10003,5
6725,10098,5
6725,14285,5
6725,10219,5
6725,14349,5
6725,14424,5
6725,10325,5
6725,14437,5
6725,10341,5
6725,14446,5
6725,10386,5
6725,14513,5
6725,14663,5
6725,14777,5
6725,14881,5
6725,14908,5
6725,10804,5
6725,10812,5
6725,14933,5
6725,10868,5
6725,10915,5
6725,14984,5
6725,15084,5
6725,15210,5
6725,15379,5
6725,11396,5
6725,15464,5
6725,11451,5
6725,11454,5
6725,11465,5
6725,15483,5
6725,15484,5
6725,15485,5
6725,15487,5
6725,11473,5
11644,11897,5
11644,11898,5
11644,11900,5
11644,7580,5
11644,7581,5
11644,12008,5
11644,12123,5
11644,12125,5
11644,12339,5
11644,8049,5
11644,12371,5
11644,12548,5
11644,8396,5
11644,12622,5
11644,8397,5
11644,12900,5
11644,13285,5
11644,13358,5
11644,13548,5
11644,13565,5
11644,13581,5
11644,9725,5
11644,9726,5
11644,9755,5
11644,13955,5
11644,14414,5
11644,14513,5
11644,10901,5
6726,11465,5
6726,15483,5
6726,15484,5
6726,15485,5
6726,15487,5
11645,11895,5
11645,11960,5
11645,11962,5
11645,15340,5
11646,11895,5
11646,7545,5
11646,11962,5
11646,14784,5
7048,11706,5
7048,11725,5
7048,7493,5
7048,11866,5
7048,11868,5
7048,11869,5
7048,11936,5
7048,11986,5
7048,12125,5
7048,12248,5
7048,12249,5
7048,8016,5
7048,8090,5
7048,12427,5
7048,12443,5
7048,12533,5
7048,12593,5
7048,8356,5
7048,12595,5
7048,8375,5
7048,8417,5
7048,8418,5
7048,8422,5
7048,8437,5
7048,12675,5
7048,12711,5
7048,12911,5
7048,8811,5
7048,8926,5
7048,13084,5
7048,9431,5
7048,13730,5
7048,13809,5
7048,13817,5
7048,9750,5
7048,13866,5
7048,13955,5
7048,9860,5
7048,13984,5
7048,14026,5
7048,14132,5
7048,14253,5
7048,14364,5
7048,10566,5
7048,10749,5
7048,11080,5
7048,11138,5
7048,15230,5
7048,15268,5
7048,11294,5
7048,11341,5
7048,11342,5
7048,15369,5
7048,15384,5
7048,11454,5
7050,11780,5
7050,7728,5
7050,7917,5
7050,12390,5
7050,12486,5
7050,12877,5
7050,13064,5
7050,13569,5
7050,13771,5
7050,14148,5
7050,10255,5
7050,14406,5
7050,14446,5
7050,14463,5
7050,10799,5
11649,11715,5
11649,11720,5
11649,11882,5
11649,7566,5
11649,12125,5
11649,7921,5
11649,12434,5
11649,8328,5
11649,12568,5
11649,12599,5
11649,8392,5
11649,8417,5
11649,8430,5
11649,12675,5
11649,12735,5
11649,12739,5
11649,12741,5
11649,12820,5
11649,12906,5
11649,12967,5
11649,8986,5
11649,13240,5
11649,9121,5
11649,13347,5
11649,13351,5
11649,9142,5
11649,13520,5
11649,13631,5
11649,13762,5
11649,13770,5
11649,13784,5
11649,13803,5
11649,13860,5
11649,13976,5
11649,13978,5
11649,13980,5
